,circuito,localidad,local,accesibilidad,tipo,depto,serie,desde,hasta,ap,avp,ca,pc,pca,peri,fa,is,pi,pn,pcn,core
481,26,ROCHA,"ESCUELA VARELA -POR PORTÓN, TREINTA Y TRES S/N ESQ. RINCÓN",SÍ,URBANO,,EAA,50742.0,51386.0,0.029154518950437316,0.0,0.03206997084548105,0.17784256559766765,0.008746355685131196,0.0058309037900874635,0.39067055393586003,0.029154518950437316,0.023323615160349854,0.30029154518950435,0.0029154518950437317,0.5422740524781341
482,26,TREINTA Y TRES,CENTRO DE TECNOLOGÍA EDUCATIVA -SANTIAGO GADEA S/N ESQ. MANUEL FREIRE,NO,URBANO,,FAA,50915.0,51656.0,0.0,0.0,0.015479876160990712,0.13622291021671826,0.009287925696594427,0.0,0.37770897832817335,0.015479876160990712,0.01238390092879257,0.43034055727554177,0.0030959752321981426,0.6037151702786377
483,26,MELO,"IGLESIA DE JESUCRISTO DE LOS SANTOS DE LOS ÚLTIMOS DÍAS-TREINTA Y TRES S/N ESO, COLÓN",SÍ,URBANO,Cerro Largo,GAD,5874.0,7188.0,0.0,0.0,0.03216374269005848,0.15789473684210525,0.008771929824561403,0.0029239766081871343,0.2953216374269006,0.02046783625730994,0.005847953216374269,0.4619883040935672,0.014619883040935672,0.6666666666666666
484,26,RIVERA,LICEO N°1-NIETO CLAVERA S/N ESQ. ARTIGAS,SÍ,URBANO,,HAB,29825.0,31143.0,0.0029850746268656717,0.0,0.11343283582089553,0.3880597014925373,0.005970149253731343,0.0029850746268656717,0.1761194029850746,0.020895522388059702,0.008955223880597015,0.2746268656716418,0.005970149253731343,0.791044776119403
485,26,ARTIGAS,OF. CATASTRO-BERRETA 488,SÍ,URBANO,Artigas,IAC,49319.0,50430.0,0.0,0.0,0.0847457627118644,0.268361581920904,0.002824858757062147,0.002824858757062147,0.1751412429378531,0.01694915254237288,0.00847457627118644,0.4406779661016949,0.0,0.8050847457627118
486,26,SALTO,LICEO N° 1-ARTIGAS S/N ESQ. CERRITO,SÍ,URBANO,,JAD,5681.0,6549.0,0.003076923076923077,0.0,0.04923076923076923,0.18769230769230769,0.009230769230769232,0.006153846153846154,0.39076923076923076,0.018461538461538463,0.009230769230769232,0.3230769230769231,0.003076923076923077,0.5784615384615385
487,26,PAYSANDÚ,ESCUELA N° 6-MONTEVIDEO 659 ESQ. ARTIGAS,NO,URBANO,,KAA,40338.0,40881.0,0.003067484662576687,0.0,0.018404907975460124,0.1196319018404908,0.027607361963190184,0.006134969325153374,0.43558282208588955,0.03680981595092025,0.015337423312883436,0.3312883435582822,0.006134969325153374,0.5122699386503067
488,26,FRAY BENTOS,"ESCUELA N° 62 ""FRUCTUOSO RIVERA""-CAMINO JOSÉ BATLLE Y ORDOÑEZ S/N ESQ. CALLE 4 DE BARRIO JARDÍN",NO,URBANO,,LAA,41466.0,42166.0,0.011904761904761904,0.002976190476190476,0.041666666666666664,0.16071428571428573,0.002976190476190476,0.005952380952380952,0.5505952380952381,0.03869047619047619,0.002976190476190476,0.18154761904761904,0.0,0.38988095238095233
489,26,MERCEDES,ESCUELA DEL HOGAR-COLÓN 419,NO,URBANO,,MAA,55504.0,56352.0,0.0,0.0,0.02849002849002849,0.1623931623931624,0.005698005698005698,0.002849002849002849,0.4415954415954416,0.04843304843304843,0.002849002849002849,0.3076923076923077,0.0,0.5071225071225072
490,26,COLONIA,AJUPENCO - ITUZAINGO 227- ITUZAINGÓ 227 ESQ. GRAL. FLORES,NO,URBANO,,NAB,26709.0,27178.0,0.003472222222222222,0.003472222222222222,0.013888888888888888,0.1423611111111111,0.006944444444444444,0.006944444444444444,0.46875,0.03125,0.020833333333333332,0.3020833333333333,0.0,0.4861111111111111
491,26,SAN JOSÉ DE MAYO,"ESCUELA PÚBLICA N° 68, GUYUNUSA-BRASIL ENTRE 25 DE MAYO Y SARANDÍ",SÍ,URBANO,,OAC,5522.0,6557.0,0.0,0.0,0.020771513353115726,0.18694362017804153,0.002967359050445104,0.0,0.4094955489614243,0.02373887240356083,0.026706231454005934,0.3264094955489614,0.002967359050445104,0.5637982195845697
492,26,MANANTIALES,ESCUELA N° 28 - MARÍA EMILIA BEROT DE BELOQUI-RUTA N° 57,SÍ,RURAL,,PAD,1.0,579.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.06666666666666667,0.0,0.0,0.7333333333333333,0.06666666666666667,0.8666666666666666
493,26,FLORIDA,LICEO N°2-JOAQUÍN SUÁREZ 3437 ESQ. INDEPENDENCIA,NO,URBANO,,QAA,47429.0,48088.0,0.005865102639296188,0.0,0.03225806451612903,0.20527859237536658,0.017595307917888565,0.005865102639296188,0.375366568914956,0.026392961876832845,0.02932551319648094,0.3020527859237537,0.0,0.5865102639296187
